Business Name,Phone,Address,Website Status,Original URL,Google Maps Link
"MONCAM TEXTIL, S.L.",686 84 65 94,"Polígono EL PLA, Carrer dels Peraires, 19, 46870 Ontinyent, Valencia, Spain",broken_website,http://martiluchi.com/,https://maps.google.com/?cid=6159382099836628838
Kimbatex Textil Hogar Tienda,682 34 46 57,"Avinguda de Xàtiva, 86, 03820 Cocentaina, Alicante, Spain",broken_website,https://www.amazon.es/s?me=ALRPMYJ5QHTD9&marketplaceID=A1RKKUPIHCS9HS,https://maps.google.com/?cid=13751820917465121841
Elianor,660 24 32 25,"pol el pla, Carrer del Jacquard, 31, 46870 Ontinyent, Valencia, Spain",broken_website,http://www.elianor.es/,https://maps.google.com/?cid=5154039770581938755
La Tenda de Sali - Mercería y complementos Ontinyent,962 38 06 23,"Carrer José Simó MarÍn, 9, 46870 Ontinyent, Valencia, Spain",broken_website,https://www.facebook.com/La-tenda-de-Sali-158008034554853/,https://maps.google.com/?cid=8415293684549186248
CASAMODA,962 90 85 05,"Polígono Industrial 2 Casa Montoro Calle Manresa, 2-6, 46890 Agullent, Valencia, Spain",broken_website,http://www.casamoda.es/,https://maps.google.com/?cid=13671025305077328549
Costugar,622 69 54 54,"Av. de Ramón y Cajal, 64, 46870 Ontinyent, Valencia, Spain",broken_website,https://www.costugar.es/,https://maps.google.com/?cid=5870147210027134050
JMoltó LT,965 59 02 51,"Carrer Pujada a Sant Cristòfol, S/N, 03820 Cocentaina, Alicante, Spain",broken_website,http://www.jmoltolt.es/,https://maps.google.com/?cid=8597346444498612569
Valls tejidos del hogar S.l,965 59 09 74,"Avinguda de Xàtiva, 86, 03820 Cocentaina, Alicante, Spain",broken_website,http://www.textilhogartienda.com/,https://maps.google.com/?cid=10743026904384182922
Hilade S.L.,965 59 22 95,"Polígono Industrial la Llaona, C. la Safor, 4, 03820 Cocentaina, Alicante, Spain",broken_website,http://www.hilade.com/,https://maps.google.com/?cid=9779520235323968572
Mubetex,965 53 19 58,"Pda Alt dels canons s/n, 03830 Muro de Alcoy, Alicante, Spain",broken_website,http://www.mubetex.com/,https://maps.google.com/?cid=3610710424071210676
Tienda & Showroom - KA International & Jover Textiles - Cocentaina,966 52 07 09,"Av. d'Alacant, 67, 03820 Cocentaina, Alicante, Spain",broken_website,http://www.ka-international.com/,https://maps.google.com/?cid=2965650192007559275
Creaciones Textiles Cano Y Canto Carga,966 52 32 76,"Carrer Ibi, 14B, 03820 Cocentaina, Alicante, Spain",broken_website,http://createla.es/,https://maps.google.com/?cid=6476249282313531821
Indigo Fabrics,962 91 09 46,"Carrer de Melcior Torró, 3, Oficina 1, 46870 Ontinyent, Valencia, Spain",redirected_domain,https://indigofabrics.net/,https://maps.google.com/?cid=4259381414015337808
Acabados INSA,962 38 90 99,"Carrer dels Diables, 27c, 46870 Ontinyent, Valencia, Spain",redirected_domain,http://www.perchadosinsa.com/,https://maps.google.com/?cid=15466262871716913269
RIZZOLO S.L.U.,965 59 19 08,"Carrer de Benifleta, 18A, 03820 Cocentaina, Alicante, Spain",redirected_domain,http://www.rizzolo.es/,https://maps.google.com/?cid=403746457877694290
Aquaclean Group - Interfabrics S.L.,966 54 41 00,"Carrer del Textil, 11, 03830 Muro d'Alcoi, Alicante, Spain",redirected_domain,http://aquacleangroup.com/,https://maps.google.com/?cid=5192975779242531563
Clothmen,966 50 11 44,"Av del, Passeig del Comtat, 73, 03820 Cocentaina, Alicante, Spain",redirected_domain,https://www.google.com/url?q=https://www.instagram.com/clothmen_blazier/&sa=U&sqi=2&ved=2ahUKEwidtPWc7sqNAxWrTqQEHcrWKJkQFnoECCQQAQ&usg=AOvVaw0zzj-ziGwnDknhnhkeB6D6,https://maps.google.com/?cid=3994034237603369012
